English,isiXhosa,Category
abdominal,-namazantsi esisu,anatomy
abdominal,-sisu,anatomy
anti-inflammatory,isidambisikukrala,treatment
anti-inflammatory,-anti-inflammatory,treatment
aspirin,-aspirin,treatment
clot,-hlwili,anatomy
bruise,,condition
cold,-mkhuhlane,condition
cold,-fiva,condition
congestion,-kuxinana,condition
cough,-khohlokhohlo,condition
gastroenteritis,ukukrala kwesisu,condition
gastroenteritis,-gastroenteritis,condition
heart disease,isifo sentliziyo,condition
heart disease,unesigulo sentliziyo,condition
high blood pressure,uxinzelelogazi oluphezulu,condition
high blood pressure,-hihi,condition
inflammation,ukukrala,condition
inflammation,ukutshisa,condition
inhaler,isirhogelisi,treatment
inhaler,-inhaler,treatment
IBS,-IBS,condition
kidney stone,ilitye elisezintsweni,anatomy
kidney stone,-kidney stone,anatomy
migraine,intloko enkentezayo,condition
migraine,-mayigreyini,condition
migraine,-migraine,condition
morphine,imofini,treatment
morphine,-morphine,treatment
nausea,-caphucaphu,condition
paracetamol,-pharasithamoli,treatment
paracetamol,-paracetamol,treatment
stroke,ukufa icala,condition
stroke,-sitrowukhu,condition
stroke,-sitrowukhi,condition
throat,-mqala,anatomy
tumour,-tyhuma,condition
tumour,-tumour,condition
type two diabetes,isifo seswekile sohlobo 2,condition
type two diabetes,-hlobo lwe-2 leswekile,condition
wheezing,-tswina kwesifuba,condition
wheezing,-tswina,condition
ear,-ndlebe,anatomy
ears,-ndlebe,anatomy
eye,-kweliso,anatomy
eyes,-mehlo,anatomy
face,-buso,anatomy
nose,impumlo,anatomy
neck,-ntamo,anatomy
foot,-nyawo,anatomy
legs,-lenze,anatomy
leg,-lenze,anatomy
hand,-sandla,anatomy
hands,-sandla,anatomy
arm,-ngalo,anatomy
arms,-ngalo,anatomy
head,-ntloko,anatomy
chest,-sifuba,anatomy
stomach,-sisu,anatomy
knee,-dolo,anatomy
elbow,-ngqiniba,anatomy
wrist,-hlahla,anatomy
